Date,Index,Cow ,Breed,DIM,Weight1,Weight2,Lactno,FAT1,FAT2,PRO1,PRO2,LAC1,LAC2,SCC1,SCC2,MY1,MY2,COND1,COND2,Activity1,Activity2,RestTime,RestDur,RestBout
14/11/2017,1,1420,,,,,,4.55,4.36,3.72,3.68,4.58,4.63,0-200  ,0-200  ,16.8,20.6,11.1,11.2,102,141,818,84,13
14/11/2017,2,1482,,,,,,4.21,4.36,3.41,3.42,4.73,4.68,0-200  ,0-200  ,33.1,29.8,9.8,9.8,60,79,914,82,14
14/11/2017,3,1497,,,,,,3.97,4.63,3.79,3.47,4.88,4.76,0-200  ,0-200  ,19.5,13.9,9.5,9.3,72,98,908,84,10
14/11/2017,4,1528,,,,,,3.42,4.18,3.26,3.36,4.98,4.8,0-200  ,0-200  ,57,41.8,9.2,8.8,68,97,782,64,12
14/11/2017,5,1530,,,,,,3.73,4.05,3.64,3.81,4.84,4.53,--     ,--     ,82.1,62.1,8.5,8.1,110,118,650,68,9
14/11/2017,6,1555,,,,,,4.05,5.13,3.14,3.6,4.46,4.75,400-800,--     ,34.5,33,9.2,8.6,74,110,830,78,14
14/11/2017,7,1568,,,,,,4.68,4.45,3.7,3.6,4.86,5.09,0-200  ,0-200  ,16.8,15,11.9,12.3,76,116,803,95,10
14/11/2017,8,1570,,,,,,4.21,4.34,3.56,3.38,4.66,4.82,200-400,--     ,45.5,36.9,9.7,9.4,107,144,569,77,9
14/11/2017,9,1576,,,,,,3.81,4.46,3.51,3.16,4.84,4.59,0-200  ,400-800,47.7,46.1,9.5,9.3,78,85,755,92,8
14/11/2017,10,1588,,,,,,4.22,4.08,3.14,2.96,4.76,4.81,0-200  ,--     ,49.4,45.3,8.8,8.8,101,139,512,76,11
14/11/2017,11,1592,,,,,,4.13,4.93,3.33,3.68,4.68,4.59,200-400,0-200  ,22.6,19.8,10.5,9.9,134,119,848,100,8
14/11/2017,12,1596,,,,,,3.53,4.36,3.55,3.49,4.37,4.42,200-400,400-800,49.1,39.5,10.2,10.3,99,96,800,75,10
14/11/2017,13,1597,,,,,,5.05,5.42,3.31,3.34,4.72,4.63,200-400,400-800,37.5,32.6,9.3,12.5,98,135,707,66,12
14/11/2017,14,1604,,,,,,3.86,4.42,2.92,3.26,4.59,4.49,0-200  ,200-400,44.8,41.8,8.8,8.9,71,81,701,111,7
14/11/2017,15,1606,,,,,,3.83,4.18,3.99,3.59,5.09,4.71,0-200  ,--     ,48.5,38.5,8.8,9,71,81,602,71,10
14/11/2017,16,1615,,,,,,4.04,4.76,3.42,3.44,4.79,4.75,--     ,0-200  ,58,43.8,8,8.1,94,84,896,76,11
14/11/2017,17,1618,,,,,,4.33,4.56,3.5,3.51,4.88,4.8,0-200  ,--     ,43.8,41,9.8,8.8,78,88,542,95,8
14/11/2017,18,1619,,,,,,4.56,5.04,3.71,3.6,4.65,4.83,--     ,--     ,34.9,27.7,8.8,8.8,135,202,1007,58,15
14/11/2017,19,1621,,,,,,3.69,4.76,3.5,3.15,4.63,4.68,--     ,--     ,36.4,34.6,9.3,8.8,98,142,578,85,9
14/11/2017,20,1627,,,,,,2.73,3.91,3.54,3.23,4.33,4.79,--     ,--     ,52.5,45.9,9.9,10.5,92,134,776,56,19
14/11/2017,21,1632,,,,,,3.9,4.29,3.81,3.73,4.51,4.51,--     ,--     ,21.1,20.9,9.3,11.6,99,121,896,72,11
14/11/2017,22,1635,,,,,,3.46,3.96,3.33,3.56,4.84,4.88,0-200  ,0-200  ,46.9,47.8,8.9,8.8,93,111,479,78,9
14/11/2017,23,1637,,,,,,4.46,5,3.39,3.27,4.74,4.8,200-400,--     ,37.4,27.8,9.5,9.3,86,82,884,93,10
14/11/2017,24,1638,,,,,,3.61,4.61,3.67,3.54,5.22,4.73,0-200  ,--     ,65,52.6,8.5,8.1,90,95,491,71,7
14/11/2017,25,1643,,,,,,4.53,5.33,3.68,3.73,4.76,4.57,--     ,200-400,43.8,42.6,8.4,9.8,151,159,782,68,11
14/11/2017,26,1644,,,,,,3.86,4.4,2.86,3,4.68,4.76,200-400,--     ,54.9,37.4,9,8.5,111,176,581,99,10
14/11/2017,27,1648,,,,,,4.15,4.68,3.19,3.59,4.66,4.59,0-200  ,--     ,55.9,41.2,8.5,8.6,119,141,671,58,14
14/11/2017,28,1649,,,,,,4.01,4.38,3.79,3.33,4.97,4.72,0-200  ,0-200  ,59.8,50.2,8.8,8.4,63,84,827,80,9
14/11/2017,29,1650,,,,,,4.09,4.42,3.67,3.65,4.73,4.68,0-200  ,--     ,53.5,42.1,8.6,9,195,255,602,115,4
14/11/2017,30,1653,,,,,,3.86,3.92,3.81,3.89,5.05,5.08,0-200  ,0-200  ,39.4,33.6,8.4,8.5,75,100,893,69,11
14/11/2017,31,1656,,,,,,3.92,4.5,4.09,3.76,4.74,5,--     ,0-200  ,44.3,48.5,8.1,7.8,151,219,368,126,4
14/11/2017,32,1657,,,,,,4.41,4.71,3.43,3.6,4.91,4.82,--     ,0-200  ,26.9,23,8.3,8.3,75,76,776,73,11
14/11/2017,33,1658,,,,,,3.97,3.96,4.05,3.47,5.25,4.82,0-200  ,0-200  ,59.9,49.5,9.3,8.5,92,93,629,70,14
14/11/2017,34,1659,,,,,,3.58,4.12,3.63,3.52,4.88,4.79,0-200  ,0-200  ,33.8,26.1,8.6,8.8,76,112,797,60,10
14/11/2017,35,1660,,,,,,3.86,4.23,3.75,3.79,4.71,4.93,--     ,0-200  ,64,44.2,8.4,8.1,110,143,752,83,12
14/11/2017,36,1661,,,,,,3.81,3.86,3.59,3.2,4.7,4.7,0-200  ,0-200  ,70.2,57.3,9.8,9.2,94,128,407,64,7
14/11/2017,37,1663,,,,,,4.25,4.8,3.92,3.79,4.65,4.58,--     ,--     ,48.9,36,8.3,8.1,87,133,503,81,9
14/11/2017,38,1664,,,,,,4.03,4.59,3.56,3.65,4.84,4.65,--     ,0-200  ,53.1,41.9,8.8,8.8,114,132,650,53,9
14/11/2017,39,1666,,,,,,4.04,3.94,3.68,3.12,4.98,4.78,0-200  ,0-200  ,55.2,56.2,8.8,8.8,111,117,689,67,12
14/11/2017,40,1668,,,,,,4.33,4.16,3.51,3.21,4.81,4.71,0-200  ,--     ,55.5,44.8,8.8,8.5,98,108,695,71,8
14/11/2017,41,1670,,,,,,4.33,4.47,3.69,3.72,4.9,4.7,0-200  ,--     ,57.7,47.2,8.8,8.5,78,122,707,73,11
14/11/2017,42,1675,,,,,,3.97,5.04,3.48,3.33,4.76,4.9,--     ,--     ,28.5,27.9,7.8,7.8,94,94,734,58,12
14/11/2017,43,1676,,,,,,4.43,4.74,3.45,3.76,4.84,4.88,0-200  ,0-200  ,39.3,32.9,9.2,8.8,126,153,878,104,10
14/11/2017,44,1677,,,,,,4.66,4.98,3.39,3.45,4.73,4.84,0-200  ,--     ,34.2,34.2,8.3,8.4,110,103,734,65,10
14/11/2017,45,1678,,,,,,3.92,4.01,3.5,3.69,4.86,4.62,--     ,--     ,36.4,32.1,7.8,8.8,88,88,770,89,9
14/11/2017,46,1679,,,,,,5.16,4.42,3.56,3.33,4.63,4.72,--     ,200-400,25.3,32,8.1,9.3,98,126,848,78,14
14/11/2017,47,1680,,,,,,4.42,4.26,3.32,3.03,4.7,4.51,--     ,400-800,41,34.1,8,8.9,111,122,743,76,8
14/11/2017,48,1681,,,,,,3.89,4.13,3.37,3.3,4.81,4.74,0-200  ,0-200  ,38.2,33.9,8.5,8.4,96,157,635,64,12
14/11/2017,49,1683,,,,,,4.18,4.28,3.46,3.3,4.72,4.84,200-400,--     ,45.4,35.6,8.6,9.2,91,105,641,73,11
14/11/2017,50,1684,,,,,,4.01,4.3,3.98,3.65,4.43,4.96,--     ,0-200  ,46.2,41.5,8.5,9.7,72,93,704,72,12
14/11/2017,51,1687,,,,,,4.36,4.99,3.54,3.51,5,4.95,--     ,--     ,45.5,37.3,8.3,8,99,122,575,64,9
14/11/2017,52,1688,,,,,,4.34,4.65,3.68,3.89,4.78,4.98,--     ,0-200  ,43.1,36.2,8.3,9.4,96,131,605,71,7
14/11/2017,53,1689,,,,,,4.58,4.22,3.17,2.9,4.84,4.51,--     ,200-400,45.7,35,8.3,9.2,93,116,653,79,11
14/11/2017,54,1690,,,,,,4.2,4.61,3.41,3.56,4.7,4.58,0-200  ,--     ,40.2,31.9,8.5,8.3,110,116,614,105,7
14/11/2017,55,1691,,,,,,3.68,4.38,3.03,3.03,4.68,4.67,0-200  ,0-200  ,56.3,37.1,8.8,8.6,121,122,596,67,10
14/11/2017,56,1693,,,,,,4.38,4.88,3.28,3.46,4.82,4.7,--     ,200-400,28.9,26.6,11.1,11.8,107,96,695,76,8
14/11/2017,57,1694,,,,,,3.5,4.17,2.96,2.93,4.84,4.75,0-200  ,--     ,30.7,25.9,8.9,8.6,82,88,818,84,10
14/11/2017,58,1695,,,,,,4.37,4.87,3.54,3.5,4.43,4.63,--     ,200-400,31.5,24,8.6,9,73,94,791,74,15
14/11/2017,59,1699,,,,,,2.8,5,3.68,3.4,4.86,4.63,0-200  ,200-400,22.3,26.4,8.8,7.9,96,109,602,74,9
14/11/2017,60,1701,,,,,,4.09,4.38,3.31,3.21,4.87,4.76,0-200  ,0-200  ,41.3,31.1,9.5,9.3,112,119,749,73,9
14/11/2017,61,1702,,,,,,4.43,4.55,3.42,3.54,4.98,4.88,--     ,0-200  ,31.6,28.6,8.3,8.8,100,118,761,86,9
14/11/2017,62,1703,,,,,,4.45,4.08,3.43,3.03,4.81,4.59,0-200  ,0-200  ,39.6,31.5,9.3,8.3,81,101,746,75,13
14/11/2017,63,1704,,,,,,3.86,4.53,3.03,3.23,4.68,4.71,0-200  ,0-200  ,38.6,27.3,9,9.2,94,109,716,68,9
14/11/2017,64,1705,,,,,,4.59,5.44,3.66,3.69,4.76,4.79,0-200  ,0-200  ,21.4,22.6,8.1,8,95,91,896,72,11
14/11/2017,65,1706,,,,,,4.47,4.19,3.68,3.2,4.8,4.72,0-200  ,200-400,30.8,24,8.5,8.6,70,92,902,60,14
14/11/2017,66,1709,,,,,,4.01,4.65,3.85,3.56,4.68,4.66,--     ,--     ,45.9,41,8.4,8,101,135,767,54,14
14/11/2017,67,1710,,,,,,3.65,3.89,3.13,3.21,4.93,4.83,0-200  ,0-200  ,43.1,37.6,9.7,9.6,109,136,539,56,7
14/11/2017,68,1711,,,,,,3.51,4.63,3.97,3.83,4.73,4.8,--     ,0-200  ,41.5,39.6,8.3,8.8,91,123,632,51,11
14/11/2017,69,1713,,,,,,4.62,4.48,3.51,3.13,4.72,4.54,0-200  ,--     ,36.6,28.9,8.9,8.4,161,189,509,56,11
14/11/2017,70,1714,,,,,,4.07,5.03,3.6,3.43,4.99,4.65,0-200  ,0-200  ,33,35.2,8.4,7.8,93,123,650,60,12
14/11/2017,71,1715,,,,,,3.84,4.2,3.28,3.35,4.78,4.91,--     ,--     ,50.1,41.1,8.1,8.5,116,154,758,55,9
14/11/2017,72,1717,,,,,,3.51,3.92,3.8,3.68,4.96,4.78,0-200  ,0-200  ,37.7,30.4,8.8,8.3,89,114,641,78,8
14/11/2017,73,1718,,,,,,4.28,4.67,3.88,4.17,5.08,5.24,0-200  ,0-200  ,40.3,29.8,8.8,8.8,125,121,719,73,8
14/11/2017,74,1730,,,,,,3.72,4.24,3.15,3.46,4.63,4.66,0-200  ,--     ,28.6,21.4,8.5,8.5,123,157,602,35,19
14/11/2017,75,1731,,,,,,3.59,4.23,3.33,3.64,4.63,4.7,0-200  ,--     ,30.8,24.1,7.8,7.6,81,98,659,37,19
14/11/2017,76,3322,,,,,,3.69,3.87,3.58,3.45,4.75,4.97,--     ,0-200  ,58.4,40.1,9.3,9.4,126,164,725,63,10
14/11/2017,77,3324,,,,,,4.48,4.72,3.43,3.58,4.67,4.56,--     ,0-200  ,26.6,24.6,8,10.2,62,99,944,93,16
14/11/2017,78,4948,,,,,,3.81,4.5,3.49,3.52,4.71,4.75,--     ,0-200  ,50.5,41.9,8.3,8.6,82,134,788,78,9
14/11/2017,79,5000,,,,,,4.73,4.67,3.17,3.3,4.68,4.56,--     ,200-400,52.3,52.5,9.2,9.3,78,113,797,72,9
14/11/2017,80,5001,,,,,,4.07,4.57,3.46,3.6,5.01,4.88,--     ,0-200  ,40.3,33.4,8.3,8.4,88,101,752,93,8
14/11/2017,81,5003,,,,,,3.77,3.8,3.15,3.06,4.83,4.75,0-200  ,0-200  ,52.5,37.8,8.8,8.8,88,123,443,82,7
14/11/2017,82,5004,,,,,,4.34,4.73,3.38,3.19,4.7,4.74,--     ,0-200  ,35.2,25.5,9.3,8.6,81,98,887,59,11
14/11/2017,83,5100,,,,,,4.2,4.67,3.09,3.36,4.59,4.53,0-200  ,200-400,35.6,26.5,9.5,9.4,98,123,737,79,9
14/11/2017,84,5101,,,,,,5.16,4.71,2.86,2.72,4.66,4.34,--     ,800+   ,40.5,31.4,8,8.3,114,148,674,94,6
14/11/2017,85,5102,,,,,,4.09,4.66,3.27,3.62,4.82,4.82,0-200  ,--     ,39.7,27.9,8.5,8.3,98,120,536,83,8
14/11/2017,86,5103,,,,,,3.53,4.08,3.43,3.3,4.58,4.67,0-200  ,0-200  ,33.3,25.3,7.5,7.9,88,129,767,67,9
14/11/2017,87,5104,,,,,,3.77,4.4,3.25,3.39,4.9,4.92,0-200  ,0-200  ,31.9,24,8.3,8.1,59,75,758,92,10
14/11/2017,88,5105,,,,,,5.07,5.01,3.44,3.2,4.74,4.61,200-400,--     ,22.7,16.8,7.8,8.4,99,117,812,113,6
14/11/2017,89,5106,,,,,,4.17,4.49,3.34,3.55,4.8,4.63,--     ,200-400,39.2,31,8.8,8.6,110,122,614,57,13
14/11/2017,90,5201,,,,,,4.29,4.5,3.27,3.19,4.59,4.44,--     ,--     ,27.8,22.7,8.9,8.8,96,117,857,90,11
14/11/2017,91,5203,,,,,,3.18,4.03,3.55,3.46,5.17,4.81,0-200  ,0-200  ,64.9,50.2,9.8,9.6,103,107,662,65,13
14/11/2017,92,5205,,,,,,3.8,3.77,3.87,3.74,5.05,4.63,0-200  ,--     ,56.7,48.3,8.8,9,93,113,656,57,12
14/11/2017,93,5300,,,,,,3.67,3.98,3.56,3.44,4.76,4.62,0-200  ,0-200  ,35.2,29.5,8.3,8.3,79,104,431,60,7
14/11/2017,94,5302,,,,,,3.77,4.38,3.06,3.47,4.81,4.63,0-200  ,--     ,45.6,35,9.2,9,111,116,803,61,13
14/11/2017,95,5401,,,,,,4.21,3.74,3.2,2.89,4.76,4.68,0-200  ,200-400,37.2,36.2,9.4,9.3,68,99,803,59,16
14/11/2017,96,5500,,,,,,4.23,4.09,3.02,2.88,4.76,4.62,--     ,0-200  ,47.5,40.5,8.8,9.4,109,112,530,50,11
14/11/2017,97,5501,,,,,,3.77,4.73,2.93,3.36,4.63,4.82,200-400,--     ,50.7,38.2,9.5,9.6,111,151,671,72,12
14/11/2017,98,5502,,,,,,5.07,4.5,3.65,3.2,4.75,4.78,0-200  ,0-200  ,33.7,27.5,9.8,10.2,91,85,788,83,10
14/11/2017,99,5503,,,,,,3.99,4.47,3.35,3.34,4.93,4.9,--     ,--     ,57.9,45.1,8.3,8.3,96,147,866,106,8
14/11/2017,100,5504,,,,,,4.79,4.36,3.26,3.32,4.62,4.51,200-400,200-400,30.6,35.8,7.8,7.9,105,167,851,56,15
14/11/2017,101,5601,,,,,,4.23,4.26,3.66,3.95,4.87,4.61,0-200  ,--     ,53.4,39.1,9.3,9.3,93,118,734,79,13
14/11/2017,102,5603,,,,,,4.37,4.68,3.66,3.54,4.7,4.7,--     ,--     ,21.8,16.7,8.3,9.4,88,99,827,84,14
14/11/2017,103,5604,,,,,,5.09,5.09,3.69,3.64,4.56,4.53,200-400,--     ,39.4,25,9,9,97,133,602,61,12
14/11/2017,104,5700,,,,,,3.66,3.81,2.98,2.99,4.57,4.55,200-400,400-800,34,32.5,11.1,11.2,83,96,377,64,8
14/11/2017,105,5702,,,,,,4.12,3.78,3.55,3.01,4.8,4.63,0-200  ,200-400,51.8,40.9,8.8,8.4,89,134,233,84,3
14/11/2017,106,5801,,,,,,4.49,4.59,3.58,3.86,4.86,4.59,0-200  ,--     ,37.7,35.5,8.8,8.8,90,106,620,82,7
15/11/2017,1,1420,,,,,,4.09,4.17,3.63,3.64,4.63,4.87,0-200  ,0-200  ,16.5,21.9,10.8,11.8,100,154,965,86,11
15/11/2017,2,1482,,,,,,3.78,4.34,3.22,3.38,4.68,4.73,200-400,0-200  ,43.5,32.7,10,9.8,58,80,788,82,11
15/11/2017,3,1497,,,,,,3.88,4.24,3.5,3.72,4.88,4.71,0-200  ,--     ,15.7,14.1,9.3,9.3,72,97,485,88,7
15/11/2017,4,1528,,,,,,3.52,3.68,3.42,3.78,4.9,4.97,0-200  ,0-200  ,49.8,46.4,8.8,8.9,66,98,815,66,10
15/11/2017,5,1530,,,,,,3.34,3.15,3.71,3.92,4.78,4.54,--     ,--     ,80.1,58.8,8.3,8.4,104,121,752,65,10
15/11/2017,6,1555,,,,,,4.36,4.57,3.64,3.69,4.62,4.61,--     ,--     ,37,31.8,8.4,8.5,74,121,824,79,9
15/11/2017,7,1568,,,,,,4.63,4.44,3.6,3.62,4.71,4.51,0-200  ,--     ,16.6,18.7,11.6,11.5,75,116,575,99,6
15/11/2017,8,1570,,,,,,3.65,3.6,3.25,3.18,4.76,4.78,0-200  ,0-200  ,49.6,43.5,10,10.6,105,146,770,79,11
15/11/2017,9,1576,,,,,,3.6,4.51,3.52,3.69,4.84,4.78,0-200  ,0-200  ,50,49.2,10.1,9.3,74,83,593,93,5
15/11/2017,10,1588,,,,,,3.84,4.7,2.82,3.16,4.59,4.68,400-800,200-400,52.4,40.8,8.6,8.9,102,139,626,75,11
15/11/2017,11,1592,,,,,,4.37,4.76,3.44,3.52,4.58,4.65,0-200  ,0-200  ,21.8,17.1,10.4,9.8,127,112,704,106,7
15/11/2017,12,1596,,,,,,3.53,4.01,3.27,3.49,4.56,4.45,--     ,400-800,44.1,41.7,10.4,10.3,96,101,779,79,11
15/11/2017,13,1597,,,,,,4.19,5.11,2.88,3.02,4.5,4.63,800+   ,--     ,32.5,28.8,11.9,8.9,95,135,515,64,6
15/11/2017,14,1604,,,,,,3.65,3.62,3.24,2.91,4.68,4.63,0-200  ,0-200  ,49.9,42.6,8.6,8.8,70,81,746,124,7
15/11/2017,15,1606,,,,,,3.52,4.09,3.55,3.97,5.01,4.99,0-200  ,0-200  ,46.3,42.9,9,8.4,69,82,695,75,11
15/11/2017,16,1615,,,,,,4.09,4.61,3.79,3.68,5,4.76,0-200  ,0-200  ,49.9,51,7.9,8.5,92,82,581,79,8
15/11/2017,17,1618,,,,,,4.5,4.91,3.52,3.52,4.79,4.97,--     ,--     ,50.5,43.1,8.9,8.8,73,85,518,94,7
15/11/2017,18,1619,,,,,,4.63,4.81,3.48,3.5,4.9,4.91,--     ,--     ,35.7,30.9,8.9,8.8,130,213,680,58,14
15/11/2017,19,1621,,,,,,4.42,4.47,3.37,3.48,4.59,4.66,0-200  ,--     ,45,39.3,9.4,9.8,91,141,800,84,8
15/11/2017,20,1627,,,,,,3.34,3.8,3.49,3.25,4.59,4.71,0-200  ,0-200  ,55.6,36.1,9.5,9.4,86,132,827,59,14
15/11/2017,21,1632,,,,,,4.01,4.16,3.74,3.74,4.51,4.56,--     ,--     ,22.8,22.8,11.2,9.9,93,122,767,73,11
15/11/2017,22,1635,,,,,,3.44,4.3,3.67,3.52,5.04,4.76,0-200  ,0-200  ,56.8,53.8,8.6,8.6,92,107,383,82,6
15/11/2017,23,1637,,,,,,4.63,5.01,3.32,3.35,4.76,4.71,200-400,200-400,34.6,28.7,9.3,8.5,83,80,632,97,9
15/11/2017,24,1638,,,,,,4.18,4.49,3.84,3.57,4.63,4.75,--     ,--     ,61.9,64.6,7.9,7.8,87,93,785,80,10
15/11/2017,25,1643,,,,,,4.41,4.68,3.57,4.05,4.98,5.04,0-200  ,0-200  ,48.6,38.4,10.2,8.4,145,155,794,77,10
15/11/2017,26,1644,,,,,,4.51,4.37,3.32,3.35,4.8,4.68,0-200  ,--     ,57.3,38.6,9,8.8,108,179,689,101,6
15/11/2017,27,1648,,,,,,4.09,3.96,3.42,3.2,4.82,4.7,--     ,0-200  ,48.8,43.7,8.5,8,116,141,731,59,13
15/11/2017,28,1649,,,,,,4.12,4.4,3.4,3.84,4.84,4.92,0-200  ,0-200  ,65.4,53.2,8.5,8.6,65,80,806,80,12
15/11/2017,29,1650,,,,,,3.95,4.25,3.76,3.68,4.81,4.72,0-200  ,--     ,55,42.7,8.6,8.6,199,264,566,117,3
15/11/2017,30,1653,,,,,,3.77,3.69,3.41,3.43,4.84,4.76,0-200  ,--     ,37,37.8,8.6,8.6,73,97,755,69,14
15/11/2017,31,1656,,,,,,4.16,4.54,3.8,3.68,4.81,4.87,--     ,0-200  ,52.8,42.2,7.9,8.3,150,222,860,124,5
15/11/2017,32,1657,,,,,,4.28,4.59,3.44,3.64,4.88,4.81,--     ,0-200  ,28,23.6,8.6,8.5,69,74,575,75,7
15/11/2017,33,1658,,,,,,3.49,3.97,3.48,3.41,4.79,4.84,0-200  ,0-200  ,56.6,50.6,9.4,8.8,91,96,653,70,10
15/11/2017,34,1659,,,,,,3.36,4.26,3.81,3.87,5.15,4.59,0-200  ,0-200  ,38.6,27.9,9,9.7,83,105,611,59,14
15/11/2017,35,1660,,,,,,3.65,4.57,3.87,3.5,5.13,4.98,0-200  ,--     ,56.7,49.9,8.1,8.3,103,151,716,82,9
15/11/2017,36,1661,,,,,,3.72,3.75,3.4,3.74,4.78,4.91,0-200  ,0-200  ,58.3,53.6,9.3,9.2,94,126,737,65,8
15/11/2017,37,1663,,,,,,4.96,4.47,4.09,4.12,4.56,4.46,200-400,--     ,52.2,43.1,8.4,8.3,86,135,770,82,8
15/11/2017,38,1664,,,,,,3.88,3.92,3.59,3.41,5.09,5.01,0-200  ,0-200  ,55.2,44.7,8.8,9.2,110,132,749,57,11
15/11/2017,39,1666,,,,,,2.78,3.85,3.41,3.38,5.11,4.79,0-200  ,--     ,36.2,55,8.8,8.8,106,114,707,69,8
15/11/2017,40,1668,,,,,,3.68,3.62,3.51,3.3,4.72,4.84,--     ,0-200  ,45.8,37.1,8.6,8.8,102,103,491,73,8
15/11/2017,41,1670,,,,,,4.05,4.65,3.51,3.46,4.83,4.76,--     ,--     ,45.1,41.4,8.3,8.1,77,125,710,74,11
15/11/2017,42,1675,,,,,,4.01,4.24,3.5,3.06,4.75,4.57,--     ,0-200  ,30.5,30.6,7.9,7.8,94,94,584,59,14
15/11/2017,43,1676,,,,,,4.63,4.2,3.52,3.38,4.75,4.86,--     ,0-200  ,39.9,35.3,8.4,9.3,115,153,611,106,8
15/11/2017,44,1677,,,,,,4.67,4.82,3.4,3.39,4.72,4.88,0-200  ,--     ,34.5,37.2,8.3,8,110,100,434,68,7
15/11/2017,45,1678,,,,,,4.13,4.43,3.67,3.62,4.76,4.7,0-200  ,0-200  ,37.1,33.6,8,7.9,87,90,533,91,7
15/11/2017,46,1679,,,,,,4.68,4.37,3.66,3.4,4.72,4.81,--     ,0-200  ,41.6,32.7,8.3,8.8,95,124,536,80,8
15/11/2017,47,1680,,,,,,4.86,4.81,3.56,3.59,4.75,4.63,0-200  ,--     ,44,35.7,8.3,8.1,108,121,491,75,7
15/11/2017,48,1681,,,,,,3.89,4.05,3.34,3.68,4.78,4.83,0-200  ,0-200  ,40.4,32.6,8.4,8.8,90,157,728,67,11
15/11/2017,49,1683,,,,,,4.37,4.51,3.26,3.38,4.81,4.74,--     ,200-400,40.9,33,8,8.4,87,108,719,75,6
15/11/2017,50,1684,,,,,,4.55,4.49,4.01,4.11,5.21,5.21,0-200  ,0-200  ,45.5,34.7,9.2,9.3,70,91,758,76,7
15/11/2017,51,1687,,,,,,4.51,4.63,3.49,3.48,4.99,5.01,--     ,--     ,46.7,42,8.3,8.1,96,122,422,64,12
15/11/2017,52,1688,,,,,,4.51,4.98,3.62,3.62,4.76,4.88,--     ,--     ,43.8,34.1,8.8,8.3,92,132,788,69,9
15/11/2017,53,1689,,,,,,4.07,4.83,2.88,3.18,4.53,4.83,200-400,--     ,38.8,35.1,8.9,8.3,88,115,749,81,7
15/11/2017,54,1690,,,,,,3.8,4.48,3.02,3.44,4.5,4.41,400-800,200-400,36.6,30.1,8.6,8.1,109,116,290,101,4
15/11/2017,55,1691,,,,,,3.65,3.68,3.21,2.83,4.73,4.65,0-200  ,200-400,51.2,43.5,8.8,8.4,117,121,272,71,3
15/11/2017,56,1693,,,,,,4.16,4.11,3.47,3.54,4.78,4.8,0-200  ,0-200  ,28.8,24.8,11,8.6,107,97,479,74,7
15/11/2017,57,1694,,,,,,3.55,3.91,3.03,3.42,4.82,4.82,0-200  ,0-200  ,33.6,24,8.8,8.6,81,88,587,89,8
15/11/2017,58,1695,,,,,,4.45,5.01,3.14,2.94,4.68,4.51,0-200  ,0-200  ,34.5,20.6,8.5,8.6,67,89,632,75,12
15/11/2017,59,1699,,,,,,3.63,4.43,3.24,3.26,4.66,4.66,0-200  ,0-200  ,31.4,26.8,8.8,8.4,96,114,671,76,9
15/11/2017,60,1701,,,,,,4.12,4.23,3.59,3.21,4.93,4.81,0-200  ,0-200  ,35.5,31.8,9.3,9.3,106,119,494,77,5
15/11/2017,61,1702,,,,,,4.05,4.2,3.35,3.35,4.88,4.8,0-200  ,--     ,31,26.7,8.6,8.1,96,117,728,94,8
15/11/2017,62,1703,,,,,,4.05,4.63,3.05,3.32,4.61,4.76,0-200  ,0-200  ,40.6,31,8.9,8.8,74,102,767,78,9
15/11/2017,63,1704,,,,,,4.33,4.18,3.26,3.34,4.68,4.63,0-200  ,0-200  ,38.7,33.3,8.6,8,91,108,500,67,10
15/11/2017,64,1705,,,,,,4.51,4.58,3.72,3.49,4.76,4.84,--     ,0-200  ,23.2,15.9,7.8,8,95,91,494,73,9
15/11/2017,65,1706,,,,,,4.45,4.76,3.54,3.49,4.9,4.84,0-200  ,0-200  ,27.2,20,8.8,8.5,66,90,575,62,13
15/11/2017,66,1709,,,,,,3.72,5.19,3.61,3.55,4.98,4.58,0-200  ,--     ,43.3,9.1,8.4,7.9,102,130,563,54,15
15/11/2017,67,1710,,,,,,3.47,3.96,3.62,3.62,4.66,4.95,--     ,0-200  ,41.9,33.4,9.4,9.6,113,131,410,60,11
15/11/2017,68,1711,,,,,,3.64,4.48,3.75,3.52,5.04,4.86,--     ,0-200  ,40.8,38.5,8.4,8.1,90,109,500,59,9
15/11/2017,69,1713,,,,,,4.23,4.25,3.31,3.27,4.58,4.61,--     ,--     ,34.3,31,8.4,8.3,168,194,470,50,12
15/11/2017,70,1714,,,,,,3.96,4.3,3.68,3.46,5.04,4.88,0-200  ,0-200  ,42.9,30.1,8.6,8.4,99,118,575,57,10
15/11/2017,71,1715,,,,,,3.8,3.7,3.51,3.14,4.65,4.82,--     ,0-200  ,47.1,41.3,8.4,8.5,120,142,662,56,10
15/11/2017,72,1717,,,,,,3.52,3.73,3.4,3.35,4.78,4.75,0-200  ,0-200  ,44.8,35.4,8.8,8.3,92,106,614,78,10
15/11/2017,73,1718,,,,,,4.47,4.63,4.22,3.75,5.26,4.93,0-200  ,0-200  ,37.6,31.2,8.9,8.1,123,112,560,78,11
15/11/2017,74,1730,,,,,,4,4.01,3.35,3.47,4.68,4.68,0-200  ,--     ,25.3,23,8.3,8.6,119,154,602,38,13
15/11/2017,75,1731,,,,,,3.72,3.78,3.62,3.24,4.58,4.54,0-200  ,0-200  ,30.3,25.9,7.4,7.8,85,98,707,40,20
15/11/2017,76,3322,,,,,,3.8,4.26,3.55,3.48,4.75,4.78,--     ,--     ,57.8,46.7,9,8.8,124,163,722,64,11
